owner_repo,url,http_status,active,redirected,final_url,in_v1,in_v2
allenai/panda,https://github.com/allenai/panda,200,True,False,https://github.com/allenai/panda,True,True
allenai/super-benchmark,https://github.com/allenai/super-benchmark,200,True,False,https://github.com/allenai/super-benchmark,True,True
AlokTheDataGuy/Multi-Agent-Customer-Service-Chatbot,https://github.com/AlokTheDataGuy/Multi-Agent-Customer-Service-Chatbot,200,True,False,https://github.com/AlokTheDataGuy/Multi-Agent-Customer-Service-Chatbot,True,True
AlteraAI/GameBuddy,https://github.com/AlteraAI/GameBuddy,404,False,False,,True,True
amazon-science/AgentOccam,https://github.com/amazon-science/AgentOccam,200,True,False,https://github.com/amazon-science/AgentOccam,False,True
ana-biscalchin/ai-invoice-agent,https://github.com/ana-biscalchin/ai-invoice-agent,200,True,False,https://github.com/ana-biscalchin/ai-invoice-agent,False,True
andrewyng/translation-agent,https://github.com/andrewyng/translation-agent,200,True,False,https://github.com/andrewyng/translation-agent,True,True
AndSam321/Vet-U,https://github.com/AndSam321/Vet-U,200,True,False,https://github.com/AndSam321/Vet-U,False,True
aneeshbukya/EmpowerHR--AI-Powered-HR-Agents,https://github.com/aneeshbukya/EmpowerHR--AI-Powered-HR-Agents,200,True,False,https://github.com/aneeshbukya/EmpowerHR--AI-Powered-HR-Agents,True,True
aniket-work/claims-intel-agent,https://github.com/aniket-work/claims-intel-agent,200,True,False,https://github.com/aniket-work/claims-intel-agent,False,True
anil-matcha/open-generative-ai,https://github.com/anil-matcha/open-generative-ai,200,True,False,https://github.com/anil-matcha/open-generative-ai,True,True
apache/flink-agents,https://github.com/apache/flink-agents,200,True,False,https://github.com/apache/flink-agents,True,True
ArcadeAI/agentic-todo-app,https://github.com/ArcadeAI/agentic-todo-app,200,True,False,https://github.com/ArcadeAI/agentic-todo-app,False,True
ARCANGEL0/EVA,https://github.com/ARCANGEL0/EVA,200,True,False,https://github.com/ARCANGEL0/EVA,True,True
archanags001/AI-Report-Generator,https://github.com/archanags001/AI-Report-Generator,200,True,False,https://github.com/archanags001/AI-Report-Generator,False,True
Armur-Ai/Pentest-Swarm-AI,https://github.com/Armur-Ai/Pentest-Swarm-AI,200,True,False,https://github.com/Armur-Ai/Pentest-Swarm-AI,False,True
ashishpatel26/500-AI-Agents-Projects,https://github.com/ashishpatel26/500-AI-Agents-Projects,200,True,False,https://github.com/ashishpatel26/500-AI-Agents-Projects,True,True
Ashutosh0x/adk-bot,https://github.com/Ashutosh0x/adk-bot,200,True,False,https://github.com/Ashutosh0x/adk-bot,True,True
askbudi/tinyagent,https://github.com/askbudi/tinyagent,200,True,False,https://github.com/askbudi/tinyagent,True,True
askbudi/TinyCodeAgent,https://github.com/askbudi/TinyCodeAgent,200,True,False,https://github.com/askbudi/TinyCodeAgent,True,True
assafelovic/gpt-researcher,https://github.com/assafelovic/gpt-researcher,200,True,False,https://github.com/assafelovic/gpt-researcher,True,True
astron-agent/astron-agent,https://github.com/astron-agent/astron-agent,404,False,False,,False,True
at-amine/ai-onboarding-agent,https://github.com/at-amine/ai-onboarding-agent,200,True,False,https://github.com/at-amine/ai-onboarding-agent,False,True
atiyil/resume-agent-web,https://github.com/atiyil/resume-agent-web,200,True,False,https://github.com/atiyil/resume-agent-web,False,True
atstaeff/ai-agents,https://github.com/atstaeff/ai-agents,200,True,False,https://github.com/atstaeff/ai-agents,True,True
auliakd/AI-Enhanced-Research-Tools,https://github.com/auliakd/AI-Enhanced-Research-Tools,200,True,False,https://github.com/auliakd/AI-Enhanced-Research-Tools,False,True
automators-com/test-automation-agent,https://github.com/automators-com/test-automation-agent,200,True,False,https://github.com/automators-com/test-automation-agent,True,True
avivl/cloud-sre-agent,https://github.com/avivl/cloud-sre-agent,200,True,False,https://github.com/avivl/cloud-sre-agent,True,True
aws-samples/sample-agentic-insurance-claims-processing-eks,https://github.com/aws-samples/sample-agentic-insurance-claims-processing-eks,200,True,False,https://github.com/aws-samples/sample-agentic-insurance-claims-processing-eks,False,True
aws-samples/sample-bedrock-deep-researcher,https://github.com/aws-samples/sample-bedrock-deep-researcher,200,True,False,https://github.com/aws-samples/sample-bedrock-deep-researcher,True,True
aws-samples/sample-Dynamic-Text-to-SQL-with-Amazon-Bedrock-Agent,https://github.com/aws-samples/sample-Dynamic-Text-to-SQL-with-Amazon-Bedrock-Agent,200,True,False,https://github.com/aws-samples/sample-Dynamic-Text-to-SQL-with-Amazon-Bedrock-Agent,True,True
awslabs/agentcore-samples,https://github.com/awslabs/agentcore-samples,200,True,False,https://github.com/awslabs/agentcore-samples,True,True
awslabs/amazon-bedrock-agent-samples,https://github.com/awslabs/amazon-bedrock-agent-samples,200,True,False,https://github.com/awslabs/amazon-bedrock-agent-samples,True,True
awslabs/threat-designer,https://github.com/awslabs/threat-designer,200,True,False,https://github.com/awslabs/threat-designer,False,True
ayimdji/certification-prep-ai-agents,https://github.com/ayimdji/certification-prep-ai-agents,200,True,False,https://github.com/ayimdji/certification-prep-ai-agents,False,True
Azure/AI-Dev-Days-Hackathon,https://github.com/Azure/AI-Dev-Days-Hackathon,200,True,False,https://github.com/Azure/AI-Dev-Days-Hackathon,True,True
Azure/azure-ai-agents-labs,https://github.com/Azure/azure-ai-agents-labs,200,True,False,https://github.com/Azure/azure-ai-agents-labs,True,True
baloglu321/estate-agent,https://github.com/baloglu321/estate-agent,200,True,False,https://github.com/baloglu321/estate-agent,True,True
barcia/running-coach-skill,https://github.com/barcia/running-coach-skill,200,True,False,https://github.com/barcia/running-coach-skill,False,True
basnijholt/agent-cli,https://github.com/basnijholt/agent-cli,200,True,False,https://github.com/basnijholt/agent-cli,False,True
BennisonDevadoss/langgraph-scheduler-agent,https://github.com/BennisonDevadoss/langgraph-scheduler-agent,200,True,False,https://github.com/BennisonDevadoss/langgraph-scheduler-agent,True,True
BerriAI/litellm,https://github.com/BerriAI/litellm,200,True,False,https://github.com/BerriAI/litellm,False,True
BharathxD/ClaimeAI,https://github.com/BharathxD/ClaimeAI,200,True,False,https://github.com/BharathxD/ClaimeAI,False,True
bhaveshpatil093/TRIX-AI,https://github.com/bhaveshpatil093/TRIX-AI,200,True,False,https://github.com/bhaveshpatil093/TRIX-AI,False,True
bigph00t/hermescraft,https://github.com/bigph00t/hermescraft,200,True,False,https://github.com/bigph00t/hermescraft,True,True
Blackfrost-AI/agentguard-mcp,https://github.com/Blackfrost-AI/agentguard-mcp,200,True,False,https://github.com/Blackfrost-AI/agentguard-mcp,False,True
blacktwist/social-media-skills,https://github.com/blacktwist/social-media-skills,200,True,False,https://github.com/blacktwist/social-media-skills,False,True
Blaise-Shyaka/momo-expenses-langraph-ai-agent,https://github.com/Blaise-Shyaka/momo-expenses-langraph-ai-agent,200,True,False,https://github.com/Blaise-Shyaka/momo-expenses-langraph-ai-agent,False,True
Blattvorhang/Planning-Agent,https://github.com/Blattvorhang/Planning-Agent,200,True,False,https://github.com/Blattvorhang/Planning-Agent,True,True
BleeGleeWee/Voice-Based-Native-Language-Service-Agent-,https://github.com/BleeGleeWee/Voice-Based-Native-Language-Service-Agent-,200,True,False,https://github.com/BleeGleeWee/Voice-Based-Native-Language-Service-Agent-,False,True
blendsdk/git-commit-agent,https://github.com/blendsdk/git-commit-agent,200,True,False,https://github.com/blendsdk/git-commit-agent,False,True
block/goose,https://github.com/block/goose,200,True,True,https://github.com/aaif-goose/goose,True,True
browser-use/browser-harness,https://github.com/browser-use/browser-harness,200,True,False,https://github.com/browser-use/browser-harness,False,True
browser-use/browser-use,https://github.com/browser-use/browser-use,200,True,False,https://github.com/browser-use/browser-use,True,True
browser-use/web-ui,https://github.com/browser-use/web-ui,200,True,False,https://github.com/browser-use/web-ui,True,True
browserbase/stagehand,https://github.com/browserbase/stagehand,200,True,False,https://github.com/browserbase/stagehand,False,True
business-science/ai-data-science-team,https://github.com/business-science/ai-data-science-team,200,True,False,https://github.com/business-science/ai-data-science-team,True,True
buywhere/buywhere,https://github.com/buywhere/buywhere,200,True,False,https://github.com/buywhere/buywhere,False,True
bytedance/deer-flow,https://github.com/bytedance/deer-flow,200,True,False,https://github.com/bytedance/deer-flow,True,True
c5huracan/a1-agent-exploration,https://github.com/c5huracan/a1-agent-exploration,200,True,False,https://github.com/c5huracan/a1-agent-exploration,False,True
camel-ai/camel,https://github.com/camel-ai/camel,200,True,False,https://github.com/camel-ai/camel,True,True
camel-ai/owl,https://github.com/camel-ai/owl,200,True,False,https://github.com/camel-ai/owl,True,True
caramaschiHG/awesome-ai-agents-2026,https://github.com/caramaschiHG/awesome-ai-agents-2026,200,True,False,https://github.com/caramaschiHG/awesome-ai-agents-2026,False,True
carlossg/kubernetes-agent,https://github.com/carlossg/kubernetes-agent,200,True,False,https://github.com/carlossg/kubernetes-agent,False,True
carlyrichmond/travel-planner-ai-agent,https://github.com/carlyrichmond/travel-planner-ai-agent,200,True,False,https://github.com/carlyrichmond/travel-planner-ai-agent,False,True
CGCodes/MeetingMemo,https://github.com/CGCodes/MeetingMemo,404,False,False,,True,True
chainstacklabs/web3-ai-trading-agent,https://github.com/chainstacklabs/web3-ai-trading-agent,200,True,False,https://github.com/chainstacklabs/web3-ai-trading-agent,True,True
chapagainmanoj/ai-job-apply-agent,https://github.com/chapagainmanoj/ai-job-apply-agent,200,True,False,https://github.com/chapagainmanoj/ai-job-apply-agent,False,True
ChenWu98/agent-attack,https://github.com/ChenWu98/agent-attack,200,True,False,https://github.com/ChenWu98/agent-attack,False,True
chrislatimer/microagent,https://github.com/chrislatimer/microagent,200,True,False,https://github.com/chrislatimer/microagent,True,True
cirwel/unitares,https://github.com/cirwel/unitares,200,True,False,https://github.com/cirwel/unitares,False,True
cisco-ai-defense/skill-scanner,https://github.com/cisco-ai-defense/skill-scanner,200,True,False,https://github.com/cisco-ai-defense/skill-scanner,False,True
coasty-ai/open-computer-use,https://github.com/coasty-ai/open-computer-use,200,True,False,https://github.com/coasty-ai/open-computer-use,True,True
codeananda/fakt_ai,https://github.com/codeananda/fakt_ai,200,True,False,https://github.com/codeananda/fakt_ai,False,True
coleam00/ai-agents-masterclass,https://github.com/coleam00/ai-agents-masterclass,200,True,False,https://github.com/coleam00/ai-agents-masterclass,True,True
coleam00/Archon,https://github.com/coleam00/Archon,200,True,False,https://github.com/coleam00/Archon,False,True
colesmcintosh/social-media-agent-system,https://github.com/colesmcintosh/social-media-agent-system,200,True,False,https://github.com/colesmcintosh/social-media-agent-system,False,True
comet-ml/opik,https://github.com/comet-ml/opik,200,True,False,https://github.com/comet-ml/opik,False,True
ConardLi/easy-llm-cli,https://github.com/ConardLi/easy-llm-cli,200,True,False,https://github.com/ConardLi/easy-llm-cli,False,True
consilience-dev/consensia-news-agent,https://github.com/consilience-dev/consensia-news-agent,200,True,False,https://github.com/consilience-dev/consensia-news-agent,True,True
contains-studio/agents,https://github.com/contains-studio/agents,200,True,False,https://github.com/contains-studio/agents,True,True
crewaihello/hello-agents,https://github.com/crewaihello/hello-agents,404,False,False,,False,True
crewaiinc/crewai,https://github.com/crewaiinc/crewai,200,True,False,https://github.com/crewaiinc/crewai,True,True
crewAIInc/crewAI-cookbook,https://github.com/crewAIInc/crewAI-cookbook,404,False,False,,True,True
crewAIInc/crewAI-examples,https://github.com/crewAIInc/crewAI-examples,200,True,False,https://github.com/crewAIInc/crewAI-examples,True,True
crimeacs/translator_agent,https://github.com/crimeacs/translator_agent,200,True,False,https://github.com/crimeacs/translator_agent,True,True
Crossmint/delivery-agent,https://github.com/Crossmint/delivery-agent,200,True,False,https://github.com/Crossmint/delivery-agent,False,True
Crossmint/worldstore-agent,https://github.com/Crossmint/worldstore-agent,200,True,False,https://github.com/Crossmint/worldstore-agent,False,True
CrowdStrike/AI-Security-Agent,https://github.com/CrowdStrike/AI-Security-Agent,404,False,False,,True,True
cseHdz/Forward-Planning-Agent,https://github.com/cseHdz/Forward-Planning-Agent,200,True,False,https://github.com/cseHdz/Forward-Planning-Agent,True,True
CUHK-ARISE/GAMABench,https://github.com/CUHK-ARISE/GAMABench,200,True,False,https://github.com/CUHK-ARISE/GAMABench,False,True
CVxTz/document_ai_agents,https://github.com/CVxTz/document_ai_agents,200,True,False,https://github.com/CVxTz/document_ai_agents,False,True
Cyb3rWard0g/HF-Agents-Course-Notes,https://github.com/Cyb3rWard0g/HF-Agents-Course-Notes,200,True,False,https://github.com/Cyb3rWard0g/HF-Agents-Course-Notes,True,True
Cyberweasel777/agent-action-receipt-spec,https://github.com/Cyberweasel777/agent-action-receipt-spec,200,True,False,https://github.com/Cyberweasel777/agent-action-receipt-spec,False,True
Danau5tin/multi-agent-coding-system,https://github.com/Danau5tin/multi-agent-coding-system,200,True,False,https://github.com/Danau5tin/multi-agent-coding-system,True,True
daniel-debrun/LegalNexus,https://github.com/daniel-debrun/LegalNexus,200,True,False,https://github.com/daniel-debrun/LegalNexus,False,True
danieljpalmer/llm-analyst,https://github.com/danieljpalmer/llm-analyst,200,True,False,https://github.com/danieljpalmer/llm-analyst,False,True
danielrosehill/AI-Resume,https://github.com/danielrosehill/AI-Resume,200,True,False,https://github.com/danielrosehill/AI-Resume,True,True
datadrivenconstruction/DDC_Skills_for_AI_Agents_in_Construction,https://github.com/datadrivenconstruction/DDC_Skills_for_AI_Agents_in_Construction,200,True,False,https://github.com/datadrivenconstruction/DDC_Skills_for_AI_Agents_in_Construction,False,True
datakind/climate-change-assistant,https://github.com/datakind/climate-change-assistant,200,True,False,https://github.com/datakind/climate-change-assistant,False,True
DavidLMS/aphra,https://github.com/DavidLMS/aphra,200,True,False,https://github.com/DavidLMS/aphra,True,True
dcSpark/shinkai-local-ai-agents,https://github.com/dcSpark/shinkai-local-ai-agents,200,True,False,https://github.com/dcSpark/shinkai-local-ai-agents,False,True
deepset-ai/haystack,https://github.com/deepset-ai/haystack,200,True,False,https://github.com/deepset-ai/haystack,True,True
deepset-ai/haystack-cookbook,https://github.com/deepset-ai/haystack-cookbook,200,True,False,https://github.com/deepset-ai/haystack-cookbook,True,True
deng-ai-lab/RF-Agent,https://github.com/deng-ai-lab/RF-Agent,200,True,False,https://github.com/deng-ai-lab/RF-Agent,False,True
derek-opdee/subagent-example-script,https://github.com/derek-opdee/subagent-example-script,200,True,True,https://github.com/derek-codebridge/subagent-example-script,True,True
DevDizzle/galatiq-invoice-agent,https://github.com/DevDizzle/galatiq-invoice-agent,200,True,False,https://github.com/DevDizzle/galatiq-invoice-agent,False,True
dhruvldrp9/News_Agent,https://github.com/dhruvldrp9/News_Agent,200,True,False,https://github.com/dhruvldrp9/News_Agent,True,True
DhyeyR-007/Reinforcement-Learning-RL-vs-GPT-LLM-at-Chess-,https://github.com/DhyeyR-007/Reinforcement-Learning-RL-vs-GPT-LLM-at-Chess-,200,True,False,https://github.com/DhyeyR-007/Reinforcement-Learning-RL-vs-GPT-LLM-at-Chess-,False,True
divar-ir/ai-doc-gen,https://github.com/divar-ir/ai-doc-gen,200,True,False,https://github.com/divar-ir/ai-doc-gen,True,True
dominikcebula/aws-ai-bedrock-agentcore-shopping-agent,https://github.com/dominikcebula/aws-ai-bedrock-agentcore-shopping-agent,200,True,False,https://github.com/dominikcebula/aws-ai-bedrock-agentcore-shopping-agent,False,True
Doriandarko/kimi-writer,https://github.com/Doriandarko/kimi-writer,200,True,False,https://github.com/Doriandarko/kimi-writer,True,True
dsclca12/agent-teams,https://github.com/dsclca12/agent-teams,200,True,False,https://github.com/dsclca12/agent-teams,False,True
duolingo/slack-ai-agent,https://github.com/duolingo/slack-ai-agent,200,True,False,https://github.com/duolingo/slack-ai-agent,False,True
dyingpotato890/frame-ai,https://github.com/dyingpotato890/frame-ai,200,True,False,https://github.com/dyingpotato890/frame-ai,False,True
e2b-dev/awesome-ai-agents,https://github.com/e2b-dev/awesome-ai-agents,200,True,False,https://github.com/e2b-dev/awesome-ai-agents,True,True
ed-donner/agents,https://github.com/ed-donner/agents,200,True,False,https://github.com/ed-donner/agents,True,True
edilma/ai-blog-app,https://github.com/edilma/ai-blog-app,200,True,False,https://github.com/edilma/ai-blog-app,False,True
eduardomoacir/brazilian-invoice-ai-agent,https://github.com/eduardomoacir/brazilian-invoice-ai-agent,200,True,False,https://github.com/eduardomoacir/brazilian-invoice-ai-agent,False,True
Elan-Rubin/codefest_2025,https://github.com/Elan-Rubin/codefest_2025,200,True,True,https://github.com/Elan-Rubin/Ready-Set-Insure,False,True
em-llm/EM-LLM-model,https://github.com/em-llm/EM-LLM-model,200,True,False,https://github.com/em-llm/EM-LLM-model,False,True
Emarhnuel/Insurance-AI-agent,https://github.com/Emarhnuel/Insurance-AI-agent,200,True,False,https://github.com/Emarhnuel/Insurance-AI-agent,False,True
embodied-ai/embodied-agents,https://github.com/embodied-ai/embodied-agents,404,False,False,,True,True
enescingoz/awesome-n8n-templates,https://github.com/enescingoz/awesome-n8n-templates,200,True,False,https://github.com/enescingoz/awesome-n8n-templates,False,True
enola-dev/cooking-agent,https://github.com/enola-dev/cooking-agent,200,True,False,https://github.com/enola-dev/cooking-agent,False,True
ErfanMomeniii/chef-gpt,https://github.com/ErfanMomeniii/chef-gpt,200,True,False,https://github.com/ErfanMomeniii/chef-gpt,False,True
ERFFFFF/Music_Agent,https://github.com/ERFFFFF/Music_Agent,200,True,False,https://github.com/ERFFFFF/Music_Agent,True,True
escapeboy/agent-fleet-o,https://github.com/escapeboy/agent-fleet-o,200,True,False,https://github.com/escapeboy/agent-fleet-o,False,True
evolsb/claude-legal-skill,https://github.com/evolsb/claude-legal-skill,200,True,False,https://github.com/evolsb/claude-legal-skill,True,True
facebookresearch/MRQ,https://github.com/facebookresearch/MRQ,200,True,False,https://github.com/facebookresearch/MRQ,False,True
Farama-Foundation/PettingZoo,https://github.com/Farama-Foundation/PettingZoo,200,True,False,https://github.com/Farama-Foundation/PettingZoo,False,True
FayElhassan/AI-for-Sustainable-Agriculture,https://github.com/FayElhassan/AI-for-Sustainable-Agriculture,200,True,False,https://github.com/FayElhassan/AI-for-Sustainable-Agriculture,False,True
feilaz/AI_Powered_Math_Tutoring,https://github.com/feilaz/AI_Powered_Math_Tutoring,200,True,False,https://github.com/feilaz/AI_Powered_Math_Tutoring,True,True
felipejac/aigents_research,https://github.com/felipejac/aigents_research,200,True,False,https://github.com/felipejac/aigents_research,False,True
FelixNg1022/JobMatch-AI,https://github.com/FelixNg1022/JobMatch-AI,200,True,False,https://github.com/FelixNg1022/JobMatch-AI,False,True
firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,200,True,False,https://github.com/firecrawl/firecrawl,True,True
firecrawl/web-agent,https://github.com/firecrawl/web-agent,200,True,False,https://github.com/firecrawl/web-agent,True,True
FLAIROx/JaxMARL,https://github.com/FLAIROx/JaxMARL,200,True,False,https://github.com/FLAIROx/JaxMARL,False,True
Fosowl/agenticSeek,https://github.com/Fosowl/agenticSeek,200,True,False,https://github.com/Fosowl/agenticSeek,True,True
FoundationAgents/MetaGPT,https://github.com/FoundationAgents/MetaGPT,200,True,False,https://github.com/FoundationAgents/MetaGPT,True,True
frdel/agent-zero,https://github.com/frdel/agent-zero,200,True,True,https://github.com/agent0ai/agent-zero,False,True
fugazi/test-automation-skills-agents,https://github.com/fugazi/test-automation-skills-agents,200,True,False,https://github.com/fugazi/test-automation-skills-agents,False,True
fuzzylabs/sre-agent,https://github.com/fuzzylabs/sre-agent,200,True,False,https://github.com/fuzzylabs/sre-agent,True,True
fxstein/ai-todo,https://github.com/fxstein/ai-todo,200,True,False,https://github.com/fxstein/ai-todo,False,True
gabrielmahia/mpesa-mcp,https://github.com/gabrielmahia/mpesa-mcp,200,True,False,https://github.com/gabrielmahia/mpesa-mcp,False,True
garylab/MakeMoneyWithAI,https://github.com/garylab/MakeMoneyWithAI,200,True,False,https://github.com/garylab/MakeMoneyWithAI,False,True
GDIAMEL/AI-POWERED-CROP-YIELD-PREDICTOR-FOR-SMALL-SCALE-FARMERS,https://github.com/GDIAMEL/AI-POWERED-CROP-YIELD-PREDICTOR-FOR-SMALL-SCALE-FARMERS,200,True,False,https://github.com/GDIAMEL/AI-POWERED-CROP-YIELD-PREDICTOR-FOR-SMALL-SCALE-FARMERS,False,True
geek-ai/MAgent,https://github.com/geek-ai/MAgent,200,True,False,https://github.com/geek-ai/MAgent,False,True
geekan/MetaGPT,https://github.com/geekan/MetaGPT,200,True,True,https://github.com/FoundationAgents/MetaGPT,True,True
GeminiLight/awesome-ai-llm4education,https://github.com/GeminiLight/awesome-ai-llm4education,200,True,False,https://github.com/GeminiLight/awesome-ai-llm4education,True,True
GenAI-Gurus/awesome-eu-ai-act,https://github.com/GenAI-Gurus/awesome-eu-ai-act,200,True,False,https://github.com/GenAI-Gurus/awesome-eu-ai-act,False,True
GH05TCREW/PentestAgent,https://github.com/GH05TCREW/PentestAgent,200,True,False,https://github.com/GH05TCREW/PentestAgent,True,True
gigamaster/ai-media-agent,https://github.com/gigamaster/ai-media-agent,200,True,False,https://github.com/gigamaster/ai-media-agent,False,True
GiovanniPasq/agentic-rag-for-dummies,https://github.com/GiovanniPasq/agentic-rag-for-dummies,200,True,False,https://github.com/GiovanniPasq/agentic-rag-for-dummies,True,True
git-ai-project/git-ai,https://github.com/git-ai-project/git-ai,200,True,False,https://github.com/git-ai-project/git-ai,False,True
git-disl/awesome-LLM-game-agent-papers,https://github.com/git-disl/awesome-LLM-game-agent-papers,200,True,False,https://github.com/git-disl/awesome-LLM-game-agent-papers,True,True
GoetzKohlberg/sidjua,https://github.com/GoetzKohlberg/sidjua,200,True,False,https://github.com/GoetzKohlberg/sidjua,False,True
GooeyAI/documentation,https://github.com/GooeyAI/documentation,200,True,True,https://github.com/GooeyAI/docs,False,True
google-agentic-commerse/agent-payments-protocol,https://github.com/google-agentic-commerse/agent-payments-protocol,404,False,False,,False,True
google-deepmind/lab,https://github.com/google-deepmind/lab,200,True,False,https://github.com/google-deepmind/lab,False,True
google-deepmind/meltingpot,https://github.com/google-deepmind/meltingpot,200,True,False,https://github.com/google-deepmind/meltingpot,False,True
